Date,Closing price,50,200
2018-05-09,0.8,,
2018-06-14,0.82,,
2018-06-15,0.86,,
2018-06-18,0.86,,
2018-06-19,0.86,,
2018-06-20,0.86,,
2018-06-21,0.86,,
2018-06-25,0.86,,
2018-06-26,0.86,,
2018-06-27,0.99,,
2018-06-28,0.99,,
2018-06-29,0.99,,
2018-07-02,0.99,,
2018-07-03,0.99,,
2018-07-04,0.99,,
2018-07-05,0.99,,
2018-07-06,0.99,,
2018-07-09,0.99,,
2018-07-10,0.99,,
2018-07-11,0.9,,
2018-07-12,0.9,,
2018-07-13,0.9,,
2018-07-16,0.9,,
2018-07-17,0.9,,
2018-07-18,0.9,,
2018-07-19,0.9,,
2018-07-20,0.9,,
2018-07-23,0.9,,
2018-07-24,0.9,,
2018-07-25,0.9,,
2018-07-26,0.9,,
2018-07-27,0.9,,
2018-07-30,0.76,,
2018-07-31,1.02,,
2018-08-01,1.02,,
2018-08-02,1.02,,
2018-08-03,1.02,,
2018-08-06,1.02,,
2018-08-07,1.02,,
2018-08-08,1.02,,
2018-08-09,1.02,,
2018-08-10,1.02,,
2018-08-13,1.02,,
2018-08-14,1.02,,
2018-08-15,1.02,,
2018-08-16,0.75,,
2018-08-17,0.75,,
2018-08-20,0.75,,
2018-08-21,0.75,,
2018-08-22,0.75,,
2018-08-23,0.75,,
2018-08-24,0.75,,
2018-08-27,0.75,,
2018-08-28,0.75,,
2018-08-29,0.75,,
2018-08-30,0.75,,
2018-08-31,0.75,,
2018-09-03,0.75,,
2018-09-04,0.75,,
2018-09-05,0.75,,
2018-09-06,0.75,,
2018-09-07,0.75,,
2018-09-10,0.75,,
2018-09-11,0.75,,
2018-09-12,0.75,,
2018-09-13,0.75,,
2018-09-14,1.0,,
2018-09-17,1.0,,
2018-09-18,1.0,,
2018-09-19,1.0,,
2018-09-20,1.0,,
2018-09-21,1.0,,
2018-09-24,1.0,,
2018-09-25,1.0,,
2018-09-26,1.0,,
2018-09-27,1.0,,
2018-09-28,1.0,,
2018-10-01,1.0,,
2018-10-02,1.0,,
2018-10-03,1.0,,
2018-10-04,1.0,,
2018-10-05,1.0,,
2018-10-08,1.0,,
2018-10-09,1.0,,
2018-10-10,1.0,,
2018-10-11,1.0,,
2018-10-12,1.0,,
2018-10-15,1.0,,
2018-10-16,1.0,,
2018-10-17,1.0,,
2018-10-18,1.0,,
2018-10-19,1.0,,
2018-10-22,1.0,,
2018-10-23,1.0,,
2018-10-24,1.0,,
2018-10-25,1.0,,
2018-10-26,1.0,,
2018-10-29,1.0,,
2018-10-30,1.0,,
2018-10-31,0.7,,
2018-11-01,0.7,,
2018-11-02,0.7,,
2018-11-02,0.7,,
2018-11-05,0.7,,
2018-11-06,0.7,,
2018-11-07,0.7,,
2018-11-08,0.7,,
2018-11-09,0.725,,
2018-11-12,0.76,,
2018-11-13,0.76,,
2018-11-14,0.76,,
2018-11-15,0.76,,
2018-11-16,0.76,,
2018-11-19,0.76,,
2018-11-20,0.76,,
2018-11-21,0.76,,
2018-11-22,0.8,,
2018-11-23,0.8,,
2018-11-26,0.8,,
2018-11-27,0.8,,
2018-11-28,0.8,,
2018-11-29,0.8,,
2018-11-30,0.85,,
2018-12-03,0.665,,
2018-12-04,0.665,,
2018-12-05,0.665,,
2018-12-06,0.69,,
2018-12-07,0.69,,
2018-12-10,0.69,,
2018-12-11,0.69,,
2018-12-12,0.69,,
2018-12-13,0.69,,
2018-12-14,0.69,,
2018-12-17,0.69,,
2018-12-18,0.69,,
2018-12-19,0.69,,
2018-12-20,0.69,,
2018-12-21,0.69,,
2018-12-27,0.69,,
2018-12-28,0.69,,
2019-01-02,0.69,,
2019-01-03,0.69,,
2019-01-04,0.69,,
2019-01-07,0.69,,
2019-01-08,0.69,,
2019-01-09,0.69,,
2019-01-10,0.69,,
2019-01-11,0.69,,
2019-01-14,0.69,,
2019-01-15,0.69,,
